Nom;Ville;IATA;OACI;Lat;Lon;Alt
Anahim Lake Airport;Anahim Lake;YAA;CAJ4;52.45249938964844;-125.3030014038086;3635
Williams Harbour Airport;Williams Harbour;YWM;CCA6;52.56689834594727;-55.78469848632813;70
St. Lewis (Fox Harbour) Airport;St. Lewis;YFX;CCK4;52.37279891967773;-55.67390060424805;74
Port Hope Simpson Airport;Port Hope Simpson;YHA;CCP4;52.528099060058594;-56.28609848022461;347
Rigolet Airport;Rigolet;YRG;CCZ2;54.1796989440918;-58.45750045776367;180
Colville Lake Airport;Colville Lake;YCK;CEB3;67.0392;-126.08;850
Whatì Airport;Whatì;YLE;CEM3;63.13169860839844;-117.24600219726562;882
Summer Beaver Airport;Summer Beaver;SUR;CJV7;52.70859909057617;-88.54190063476562;832
Wapekeka Airport;Angling Lake;YAX;CKB6;53.84920120239258;-89.57939910888672;712
Wunnumin Lake Airport;Wunnumin Lake;WNN;CKL3;52.89390182495117;-89.28919982910156;819
North Spirit Lake Airport;North Spirit Lake;YNO;CKQ3;52.4900016784668;-92.97109985351562;1082
Bearskin Lake Airport;Bearskin Lake;XBE;CNE3;53.965599060058594;-91.0271987915039;800
Kingfisher Lake Airport;Kingfisher Lake;KIF;CNM5;53.01250076293945;-89.85530090332031;866
Ogoki Post Airport;Ogoki Post;YOG;CNT3;51.65859985350001;-85.9017028809;594
Poplar Hill Airport;Poplar Hill;YHP;CPV7;52.1133;-94.2556;1095
Chisasibi Airport;Chisasibi;YKU;CSU2;53.80559921264648;-78.91690063476562;43
Tête-à-la-Baleine Airport;Tête-à-la-Baleine;ZTB;CTB6;50.674400329589844;-59.38359832763672;107
La Tabatière Airport;La Tabatière;ZLT;CTU5;50.8307991027832;-58.97560119628906;102
Cat Lake Airport;Cat Lake;YAC;CYAC;51.72719955444336;-91.82440185546876;1344
Fort Frances Municipal Airport;Fort Frances;YAG;CYAG;48.65420150756836;-93.439697265625;1125
Kasabonika Airport;Kasabonika;XKS;CYAQ;53.52470016479492;-88.6427993774414;672
Kangirsuk Airport;Kangirsuk;YKG;CYAS;60.027198791503906;-69.99919891357422;403
Attawapiskat Airport;Attawapiskat;YAT;CYAT;52.9275016784668;-82.43190002441406;31
Lac Du Bonnet Airport;Lac Du Bonnet;;CYAX;50.2943992615;-96.01000213620001;850
Uranium City Airport;Uranium City;YBE;CYBE;59.5614013671875;-108.4810028076172;1044
Lourdes de Blanc Sablon Airport;Lourdes-De-Blanc-Sablon;YBX;CYBX;51.4435997009;-57.1852989197;121
Cartwright Airport;Cartwright;YRF;CYCA;53.68280029296875;-57.04190063476562;40
Chesterfield Inlet Airport;Chesterfield Inlet;YCS;CYCS;63.346900939899996;-90.7311019897;32
Nain Airport;Nain;YDP;CYDP;56.54919815063477;-61.68030166625977;22
Fort Severn Airport;Fort Severn;YER;CYER;56.01890182495117;-87.67610168457031;48
Fort Albany Airport;Fort Albany;YFA;CYFA;52.20140075683594;-81.6968994140625;48
Fort Hope Airport;Fort Hope;YFH;CYFH;51.5619010925293;-87.90779876708984;899
Makkovik Airport;Makkovik;YMN;CYFT;55.07690048217773;-59.1864013671875;234
Texada Gillies Bay Airport;Texada;YGB;CYGB;49.69419860839844;-124.51799774169922;326
Gods Lake Narrows Airport;Gods Lake Narrows;YGO;CYGO;54.55889892578125;-94.49140167236328;617
Igloolik Airport;Igloolik;YGT;CYGT;69.3647003174;-81.8161010742;174
Kuujjuarapik Airport;Kuujjuarapik;YGW;CYGW;55.281898498535156;-77.76529693603516;34
Gillam Airport;Gillam;YGX;CYGX;56.35749816894531;-94.71060180664062;476
Grise Fiord Airport;Grise Fiord;YGZ;CYGZ;76.4261016846;-82.90920257570002;146
Quaqtaq Airport;Quaqtaq;YQC;CYHA;61.0463981628418;-69.6177978515625;103
Vancouver Harbour Water Aerodrome;Vancouver;CXH;CYHC;49.2943992615;-123.111000061;0
Nemiscau Airport;Nemiscau;YNS;CYHH;51.69110107421875;-76.1355972290039;802
Hopedale Airport;Hopedale;YHO;CYHO;55.44829940795898;-60.228599548339844;39
Chevery Airport;Chevery;YHR;CYHR;50.46889877319336;-59.63669967651367;39
Ivujivik Airport;Ivujivik;YIK;CYIK;62.41730117797852;-77.92530059814453;126
Island Lake Airport;Island Lake;YIV;CYIV;53.857200622558594;-94.65360260009766;770
Akulivik Airport;Akulivik;AKV;CYKO;60.81859970092773;-78.14859771728516;75
Waskaganish Airport;Waskaganish;YKQ;CYKQ;51.47330093383789;-78.75830078125;80
Aupaluk Airport;Aupaluk;YPJ;CYLA;59.29669952392578;-69.59970092773439;119
Kimmirut Airport;Kimmirut;YLC;CYLC;62.8499984741;-69.88330078119999;175
Lansdowne House Airport;Lansdowne House;YLH;CYLH;52.19559860229492;-87.93419647216797;834
St Georges Airport;Lutselk'e;;CYSG;46.096401;-70.714699;893
Kangiqsualujjuaq (Georges River) Airport;Kangiqsualujjuaq;XGR;CYLU;58.71139907836914;-65.9927978515625;215
Mary's Harbour Airport;Mary's Harbour;YMH;CYMH;52.30279922485352;-55.84719848632813;38
Chapais Airport;Chibougamau;YMT;CYMT;49.77190017700195;-74.5280990600586;1270
Umiujaq Airport;Umiujaq;YUD;CYMU;56.53609848022461;-76.51830291748047;250
Wemindji Airport;Wemindji;YNC;CYNC;53.01060104370117;-78.83110046386719;66
Norway House Airport;Norway House;YNE;CYNE;53.95830154418945;-97.84420013427734;734
Points North Landing Airport;Points North Landing;YNL;CYNL;58.27669906616211;-104.08200073242188;1605
Oxford House Airport;Oxford House;YOH;CYOH;54.93330001831055;-95.27890014648438;663
Inukjuak Airport;Inukjuak;YPH;CYPH;58.471900939941406;-78.07689666748047;83
Pikangikum Airport;Pikangikum;YPM;CYPM;51.81969833374024;-93.97329711914062;1114
Peawanuck Airport;Peawanuck;YPO;CYPO;54.98809814453125;-85.44329833984375;173
Powell River Airport;Powell River;YPW;CYPW;49.83420181274414;-124.5;425
The Pas Airport;The Pas;YQD;CYQD;53.97140121459961;-101.09100341796876;887
Nakina Airport;Nakina;YQN;CYQN;50.18280029296875;-86.69640350341797;1057
Rae Lakes Airport;Gamètì;YRA;CYRA;64.11609649658203;-117.30999755859376;723
Red Lake Airport;Red Lake;YRL;CYRL;51.06689834594727;-93.79309844970705;1265
Stony Rapids Airport;Stony Rapids;YSF;CYSF;59.25030136108398;-105.84100341796876;805
Sanikiluaq Airport;Sanikiluaq;YSK;CYSK;56.537799835200005;-79.2466964722;104
